folderId,seq,favoriteType,color,memo,display1,display2,x,y,lon,lat,key,createdAt,updatedAt
4049789,486706208,PLACE,2,,제비마트,전북 전주시 완산구 서학3길 84 1층 (동서학동),534315,642218,127.1518693,35.80922564,759494649,2023-02-23 21:51:18,2024-01-29 11:37:39
4049789,484366375,PLACE,2,,뭉몽만남,광주 동구 경양로 374 (산수동),484044,460486,126.9299536,35.15411001,128610202,2023-02-19 9:06:36,2023-02-19 9:06:36
4049789,477031067,PLACE,2,,베러얼스 제로웨이스트샵 1유로프로젝트점,서울 성동구 송정18길 1-1 201호 (송정동),515021,1126006,127.0679992,37.55312401,494798853,2023-02-04 8:46:51,2023-02-04 8:46:51
4049789,476413442,PLACE,2,센터 내 제로웨이스트 가게,업사이클에코센터,인천 미추홀구 매소홀로290번길 7 (학익동),423752,1095629,126.6553473,37.44316161,27164284,2023-02-03 0:37:28,2023-02-03 0:37:28
4049789,473220058,PLACE,2,세종아띠,선물의 집,세종 갈매로 353,558783,832678,127.2624351,36.49560865,618503497,2023-01-27 15:00:23,2023-01-27 15:00:23
4049789,473208969,PLACE,7,리퍼브 샵,반품마트,세종 나성로 96,558468,830533,127.2610029,36.48787986,533685946,2023-01-27 14:34:23,2023-01-27 14:34:23
4049789,472694026,PLACE,2,,네모로사,부산 서구 대영로85번길 55 2층 (동대신동2가),960212,453832,129.0191727,35.11331822,563047843,2023-01-26 14:06:43,2023-01-26 14:06:43
4049789,467157777,PLACE,6,,히즈빈스 명동점,서울 중구 명동길 73 1층 101호 (명동1가),496959,1129132,126.9862342,37.56441066,1506487606,2023-01-13 23:08:15,2023-01-13 23:08:15
4049789,464877632,PLACE,6,제로웨이스트 카페,그리다부부,부산 중구 광복중앙로 35-1 1층 (대청동2가),962902,450904,129.0307033,35.10257097,68040813,2023-01-09 16:25:29,2023-01-09 16:25:29
4049789,459396043,PLACE,6,,베러띵스,경기 수원시 권선구 매실로53번길 10-17 1층 (호매실동),490381,1047055,126.9566223,37.26859001,1176986545,2022-12-28 16:25:46,2022-12-28 16:25:46
4049789,454604011,PLACE,2,,밭매기,경북 경주시 포석로 1061-4 (사정동),999079,655263,129.2093668,35.8360322,737234172,2022-12-17 13:10:36,2022-12-17 13:10:36
4049789,448354937,ADDRESS,2,,틈새숲을(경북 경주시 진현로2길 39),진현동 651-32,1025706,641758,129.3257341,35.78516423,N29626822,2022-12-02 21:53:06,2022-12-02 21:53:06
4049789,445091380,ADDRESS,2,러스틱실레,강원 춘천시 신동면 풍류길 31,증리 1043-132,657448,1199721,127.7152586,37.81663434,N359776740,2022-11-25 8:45:26,2023-06-22 16:56:29
4049789,445090995,ADDRESS,2,사과나무(에너지 제로웨이스트 카페),강원 춘천시 동내면 공지로 70-61,거두리 933-2,665422,1210379,127.7518712,37.85481842,N360040988,2022-11-25 8:44:37,2023-06-22 16:58:05
4049789,435605299,PLACE,2,에너지 카페 및 제로웨이스트 샵,사과나무(예전 쿱박스),강원 춘천시 동내면 공지로 70-61 1층 (동내면 거두리),665423,1210380,127.7518718,37.85481851,1814519289,2022-11-04 8:41:21,2022-11-04 8:41:21
4049789,435262908,PLACE,7,,탄소영협동조합,충남 공주시 먹자1길 14 (중동),527667,821530,127.1234553,36.45564881,122360530,2022-11-03 14:24:43,2022-11-03 14:24:43
4049789,429066586,PLACE,7,,지구공감,서울 동작구 상도로61길 54 2층 (상도동),490662,1109772,126.9577641,37.49463035,63242576,2022-10-21 11:06:12,2022-10-21 11:06:12
4049789,429066482,PLACE,7,,탄탄제로,서울 동작구 사당로16다길 56 (사당동),493389,1106633,126.9701024,37.48332196,1455976268,2022-10-21 11:05:59,2022-10-21 11:05:59
4049789,417344528,PLACE,7,제로웨이스트 숙소,낙토,인천 강화군 선원면 연동로99번길 43 (선원면 연리),391496,1167599,126.5078455,37.70201543,2083253969,2022-09-27 12:57:52,2022-09-27 12:57:52
4049789,412276403,PLACE,2,,제로스토리,인천 연수구 송도미래로 30 D동 2310-3호 (송도동),421983,1074589,126.6477088,37.36731047,34718695,2022-09-16 21:52:23,2022-09-16 21:52:23
4049789,412276266,PLACE,2,,얼스 호텔,인천 부평구 부평문화로 161 2층 (부개동),441280,1109665,126.7343968,37.4939519,1011735847,2022-09-16 21:51:53,2022-09-16 21:51:53
4049789,410892152,ADDRESS,2,"광명 제웨샵, 광명YMCA, 경기 광명시 하안로288번길 12",지구돌봄,하안동 110-5,474094,1100620,,,N31591285,2022-09-14 9:40:08,2022-09-14 9:40:08
4049789,407136288,PLACE,2,"탄소를 감소시키는 상회, 제웨샵",감탄상회,서울 동작구 양녕로29길 16 에비뉴빌 101호 (상도동),487437,1111080,126.9431741,37.4993392,15073810,2022-09-05 16:43:53,2022-09-05 16:43:53
4049789,406709551,PLACE,2,곡물 리필 가능,한살림 속초매장(일부),강원 속초시 동해대로 4070 1층 (조양동),848072,1305678,128.5892216,38.1898877,18620270,2022-09-04 18:20:57,2022-09-04 18:20:57
4049789,401574845,PLACE,2,,지구공방,경북 포항시 남구 정몽주로861번길 9-5 (청림동),1042375,699438,129.4056996,35.9914659,1083834804,2022-08-25 12:05:48,2022-08-25 12:05:48
4049789,401574547,PLACE,2,,은영상점,대전 유성구 대학로 195-1 2층 (어은동),579642,795435,127.3549487,36.36112109,1989389337,2022-08-25 12:05:06,2022-08-25 12:05:06
4049789,401574382,PLACE,2,,협동플랫폼카페이웃,서울 서대문구 가좌로 77 (홍은동),484130,1133460,126.928134,37.57998581,1047204871,2022-08-25 12:04:47,2022-08-25 12:04:47
4049789,400111354,PLACE,4,,우미상점,경기 화성시 향남읍 행정죽전로1길 22-3 102호 (향남읍 행정리),482454,1007315,126.9210221,37.12534036,2014650589,2022-08-22 17:08:14,2022-08-22 17:08:14
4049789,400111200,PLACE,4,,바람가게,경기 부천시 지봉로 122-1 지하1층 (역곡동),458588,1108146,126.8126989,37.48863018,1662571940,2022-08-22 17:07:52,2022-08-22 17:07:52
4049789,400111049,PLACE,4,,제로웨이스트샵 도토리상점,경기 고양시 일산서구 호수로856번길 37-7 1층 (대화동),444515,1159138,126.7484322,37.67228426,1838998819,2022-08-22 17:07:32,2022-08-22 17:07:32
4049789,400110870,PLACE,4,,살림가게,경기 의정부시 신흥로258번길 15 2층 (의정부동),509748,1177636,127.0442385,37.73920916,614343236,2022-08-22 17:07:10,2022-08-22 17:07:10
4049789,400110603,PLACE,4,,송정마을카페이공,광주 광산구 송도로 257-1 (송정동),454023,455656,126.7982056,35.13654795,1804540896,2022-08-22 17:06:36,2022-08-22 17:06:36
4049789,400110249,PLACE,4,,일리크(언오더너리띵스),서울 성북구 보문로30나길 8-1 1층 (동선동2가),504499,1136186,127.020376,37.58983036,1198938407,2022-08-22 17:05:51,2022-08-22 17:05:51
